Prod_id,Cod_prod,Nom_prod,Concent,Presentac,Fracciones,Prec_compra,Prec_venta,Cat_id
1,3,A FOLIC,0.5 mg,Caja Envase Blister Tabletas,30,8,15,1
2,5,AB AMBROMOX,600 mg,Caja Vial,1,7,15,2
3,6,AB AMBROMOX,1 200 mg,Vial + Accesorios,1,9,16,2
4,95,ACICLOVIR,200 mg,Caja Envase Blister Tabletas,100,6,13,1
5,96,ACICLOVIR,400 mg,Caja Envase Blister Tabletas,100,8,14,1
6,102,ACICLOVIR,200 mg,Caja Envase Blister Tabletas,100,11,18,1
7,108,ACICLOVIR,800 mg,Caja Envase Blister Tabletas,10,14,23,1
8,138,ACIDO FOLICO,0.5 mg,Caja Envase Blister Tabletas,30,1,6,1
9,151,ACLASTA,5 mg/100 mL,Frasco X 100 mL,1,19,31,3
10,165,ACTEMRA,80 mg/4 mL,Caja Vial X 4 mL,1,41,59,4
11,166,ACTEMRA,200 mg/10 mL,Caja Vial x 10 mL,1,19,27,4
12,176,ACTILYSE,50 mg,Vial,1,29,41,2
13,180,ADACEL,,Caja Frasco X 0.5 mL,1,16,25,5
14,190,ADAX,400 mg,Caja Envase Blister Tabletas,60,19,27,6
15,191,ADAX,600 mg,Caja Envase Blister Tabletas,60,24,38,6
16,193,ADAX FLU,100 mg + 15 mg/5 mL,Frasco X 60 mL,1,8,15,7
17,194,ADAX FLU FORTE,400 mg + 60 mg,Caja Envase Blister Tabletas,60,11,19,6
18,195,ADAX FLU FORTE,200 mg + 30 mg/5 mL,Frasco X 60 mL,1,15,24,7
19,204,ADENEX,5 mg,Caja Envase Blíster Comprimidos,15,6,11,8
20,205,ADENEX,5 mg,Caja Envase Blíster Comprimidos,30,10,17,8
21,214,ADONA (AC 17),30 mg,Caja Envase Blister Tabletas,10,17,26,1
22,228,AERO OM SABOR ANIS,100 mg/mL,Frasco X 15 mL,1,13,21,7
